Skill,Count,Category
JSON,71,Other
Kafka,71,Frameworks / Libraries
Automated Testing,70,Testing
XML,70,Other
TCP/IP,69,Cloud & DevOps
Ethernet,67,Cloud & DevOps
Cloud Computing,66,Cloud & DevOps
Ruby,66,Languages
Networking,64,Cloud & DevOps
Rust,64,Languages
Hadoop,63,Databases
VBA,63,Languages
Microsoft Teams,62,Other
Visual Studio,62,Other
ETL,61,Databases
Test-Driven Development,61,Testing
GitHub Actions,60,Cloud & DevOps
Data Modeling,59,Other
Integration Testing,58,Testing
Prompt Engineering,57,AI/ML
Spring Boot,57,Frameworks / Libraries
Django,56,Frameworks / Libraries
NumPy,56,Databases
MATLAB,54,Other
NoSQL,54,Databases
Swift,54,Frameworks / Libraries
HTTP,51,Other
Software Testing,51,Other
Data Science,50,Other
Code Review,49,Cloud & DevOps
Next.js,49,Frameworks / Libraries
Snowflake,49,Databases
PowerShell,48,Languages
Data Visualization,47,Other
Infrastructure as Code,46,Cloud & DevOps
Kanban,46,Other
Azure DevOps,45,Cloud & DevOps
Databricks,45,Databases
PHP,45,Languages
Automation,44,Languages
Redis,44,Databases
Shell Scripting,44,Languages
Distributed Systems,43,Other
LangChain,43,AI/ML
Ansible,42,Cloud & DevOps
Debugging,42,Other
Design Patterns,42,Other
Figma,42,Other
JUnit,42,Testing
Quality Assurance,42,Testing
Microsoft 365,41,Other
Oracle,41,Databases
Scala,41,Languages
GraphQL,40,Frameworks / Libraries
Data Analytics,39,Databases
Relational Databases,39,Databases
Splunk,39,Cloud & DevOps
pytest,39,Testing
HTML5,38,Frameworks / Libraries
Playwright,38,Testing
AWS Lambda,37,Cloud & DevOps
MLOps,37,AI/ML
macOS,37,Other
Google BigQuery,35,Databases
OpenAI,35,AI/ML
Redux,35,Frameworks / Libraries
Reinforcement Learning,35,AI/ML
TCL,35,Languages
IoT,34,Cloud & DevOps
Version Control,34,Cloud & DevOps
Apache Airflow,33,Databases
Grafana,33,Cloud & DevOps
Matplotlib,33,Databases
Helm,32,Cloud & DevOps
FPGA,31,Cloud & DevOps
Postman,31,Frameworks / Libraries
SAP,31,Other
RTOS,30,Cloud & DevOps
React Native,30,Frameworks / Libraries
Retrieval-Augmented Generation,30,AI/ML
Spring,30,Frameworks / Libraries
Android Studio,29,Frameworks / Libraries
Groovy,29,Languages
Power Automate,29,Languages
Testing,29,Testing
jQuery,29,Frameworks / Libraries
ASP.NET,28,Frameworks / Libraries
Elasticsearch,28,Databases
GDB,28,Other
Jest,28,Testing
MPLS,28,Cloud & DevOps
Bootstrap,27,Frameworks / Libraries
Eclipse,27,Other
Express.js,27,Frameworks / Libraries
FastAPI,27,Frameworks / Libraries
Flask,27,Frameworks / Libraries
Raspberry Pi,27,Cloud & DevOps
ServiceNow,27,Other
Statistical Analysis,27,Databases
Unreal Engine,27,Frameworks / Libraries
5G,26,Cloud & DevOps
Cybersecurity,26,Cloud & DevOps
Cypress,26,Testing
Data Warehousing,26,Databases
Ruby on Rails,26,Frameworks / Libraries
TLS,26,Cloud & DevOps
Waterfall,26,Other
BGP,25,Cloud & DevOps
CSS3,25,Frameworks / Libraries
Data Engineering,25,Databases
Data Mining,25,Databases
IP,25,Cloud & DevOps
Lua,25,Languages
Multithreading,25,Other
Oscilloscope,25,Cloud & DevOps
Statistics,25,Other
Big Data,24,Databases
ChatGPT,24,Other
Containerization,24,Cloud & DevOps
QNX,24,Cloud & DevOps
Unity,24,Frameworks / Libraries
Virtual Machines,24,Cloud & DevOps
gRPC,24,Frameworks / Libraries
.NET Core,23,Languages
Design Thinking,23,Other
Microsoft Access,23,Other
Microsoft Office Suite,23,Other
Project Management,23,Other
SPI,23,Cloud & DevOps
Databases,22,Databases
Feature Engineering,22,AI/ML
I2C,22,Cloud & DevOps
LLM,22,AI/ML
OSPF,22,Cloud & DevOps
Xcode,22,Frameworks / Libraries
Continuous Delivery,21,Cloud & DevOps
Digital Signal Processing,21,Cloud & DevOps
Maven,21,Languages
Robotics,21,Cloud & DevOps
TCP,21,Other
VS Code,21,Other
YANG,21,Cloud & DevOps
CAN,20,Cloud & DevOps
Google Sheets,20,Other
IBM Cloud,20,Cloud & DevOps
Lean,20,Other
Operating Systems,20,Other
Perforce,20,Cloud & DevOps
Salesforce,20,Other
T-SQL,20,Databases
UML,20,Other
Verilog,20,Cloud & DevOps
Visual Basic,20,Languages
API Testing,19,Frameworks / Libraries
Active Directory,19,Cloud & DevOps
Hugging Face,19,AI/ML
OpenCV,19,Cloud & DevOps
RISC-V,19,Cloud & DevOps
Robot Framework,19,Testing
SAS,19,Other
Scripting,19,Languages
A/B Testing,18,Other
Amazon S3,18,Cloud & DevOps
Arduino,18,Cloud & DevOps
CUDA,18,Cloud & DevOps
Data Pipelines,18,Databases
Functional Programming,18,Other
JMeter,18,Testing
Looker,18,Other
MLflow,18,AI/ML
MVC,18,Frameworks / Libraries
SwiftUI,18,Frameworks / Libraries
Blockchain,17,Other
Datadog,17,Cloud & DevOps
Google Workspace,17,Other
Neural Networks,17,AI/ML
OSI Model,17,Other
Power Apps,17,Other
SASS,17,Frameworks / Libraries
SVN,17,Cloud & DevOps
Unsupervised Learning,17,AI/ML
VB.NET,17,Languages
Virtualization,17,Cloud & DevOps
Yocto,17,Cloud & DevOps
ARM,16,Cloud & DevOps
Agile Scrum,16,Other
Artifactory,16,Cloud & DevOps
Claude,16,Other
Firmware,16,Cloud & DevOps
Firmware Development,16,Cloud & DevOps
Haskell,16,Languages
Image Processing,16,Cloud & DevOps
Keras,16,AI/ML
Microsoft Copilot,16,Other
Mocha,16,Testing
PCIe,16,Cloud & DevOps
PySpark,16,Databases
Regression Testing,16,Testing
SDN,16,Cloud & DevOps
SOAP,16,Frameworks / Libraries
Signal Processing,16,Cloud & DevOps
Spring Framework,16,Frameworks / Libraries
UART,16,Cloud & DevOps
Windows Server,16,Cloud & DevOps
Data Governance,15,Databases
GCC,15,Cloud & DevOps
Gradle,15,Languages
Jupyter Notebook,15,Databases
Microsoft Project,15,Other
Microsoft Visio,15,Other
Predictive Analytics,15,Databases
Qt,15,Frameworks / Libraries
System Design,15,Other
Troubleshooting,15,Other
USB,15,Cloud & DevOps
Web Development,15,Frameworks / Libraries
Web Services,15,Frameworks / Libraries
Webpack,15,Languages
Wi-Fi,15,Cloud & DevOps
dbt,15,Databases
Bluetooth,14,Cloud & DevOps
C/C++,14,Languages
Classification,14,AI/ML
Cursor,14,Other
DWDM,14,Cloud & DevOps
Exploratory Data Analysis,14,Databases
GitHub Copilot,14,Other
Google Test,14,Testing
IS-IS,14,Cloud & DevOps
MS Office,14,Other
Manual Testing,14,Testing
Microsoft Power Platform,14,Other
Office 365,14,Other
Performance Testing,14,Testing
Predictive Modeling,14,Databases
Real-time Systems,14,Cloud & DevOps
Supervised Learning,14,AI/ML
UDP,14,Other
UI/UX Design,14,Other
WPF,14,Frameworks / Libraries
npm,14,Other
Cloud Native,13,Cloud & DevOps
Copilot,13,Other
Database,13,Databases
DynamoDB,13,Databases
ERP,13,Other
Embedded Linux,13,Cloud & DevOps
ISO 13485,13,Other
LLMs,13,AI/ML
Mobile Development,13,Frameworks / Libraries
OpenStack,13,Cloud & DevOps
Plotly,13,Databases
Slack,13,Other
Software Engineering,13,Other
Transformers,13,AI/ML
Amplitude,12,Other
Azure Data Factory,12,Cloud & DevOps
CMake,12,Languages
DevSecOps,12,Cloud & DevOps
ELT,12,Databases
End-to-End Testing,12,Testing
GIS,12,Other
GPU,12,Cloud & DevOps
JAX,12,AI/ML
LabVIEW,12,Other
LangGraph,12,AI/ML
Microcontrollers,12,Cloud & DevOps
NETCONF,12,Cloud & DevOps
New Relic,12,Cloud & DevOps
Programming,12,Other
Regression,12,AI/ML
Relational Database,12,Databases
SAFe,12,Other
SaaS,12,Cloud & DevOps
Software Design,12,Other
SystemVerilog,12,Cloud & DevOps
Tailwind CSS,12,Frameworks / Libraries
UX Design,12,Other
Visio,12,Other
Vite,12,Languages
WordPress,12,Frameworks / Libraries
Appium,11,Testing
BigQuery,11,Databases
Claude Code,11,Other
Cloud Platforms,11,Cloud & DevOps
Clustering,11,AI/ML
Computer Architecture,11,Other
Computer Graphics,11,Other
Containers,11,Cloud & DevOps
Continuous Deployment,11,Cloud & DevOps
Delta Lake,11,Databases
Entity Framework,11,Databases
Gerrit,11,Cloud & DevOps
IntelliJ,11,Other
Iterative Development,11,Other
Jupyter,11,Databases
Logic Analyzer,11,Cloud & DevOps
OTN,11,Cloud & DevOps
Optimization,11,Other
Release Management,11,Other
SciPy,11,Databases
Service-Oriented Architecture,11,Other
Software Development,11,Other
SolidWorks,11,Cloud & DevOps
Statistical Modeling,11,Databases
Thrift,11,Frameworks / Libraries
Time Series Forecasting,11,AI/ML
Virtual Reality,11,Frameworks / Libraries
WebSockets,11,Frameworks / Libraries
XUnit,11,Testing
Algorithm Design,10,Other
Bamboo,10,Other
Business Intelligence,10,Databases
Data Lake,10,Databases
Data Warehouse,10,Databases
Database Management,10,Databases
Gemini,10,Other
Hibernate,10,Databases
Hybrid Cloud,10,Cloud & DevOps
IP Networking,10,Cloud & DevOps
ITIL,10,Other
Jetpack Compose,10,Frameworks / Libraries
Load Testing,10,Testing
Machine Vision,10,AI/ML
MuleSoft,10,Frameworks / Libraries
Multithreaded Programming,10,Other
NIST,10,Cloud & DevOps
Network Virtualization,10,Cloud & DevOps
OAuth,10,Cloud & DevOps
OOP,10,Other
Objective-C,10,Frameworks / Libraries
OpenShift,10,Cloud & DevOps
PCoIP,10,Cloud & DevOps
PL/SQL,10,Databases
RIP,10,Cloud & DevOps
Responsible AI,10,AI/ML
SAP Analytics Cloud,10,Other
SSL,10,Cloud & DevOps
Shell,10,Languages
Source Control,10,Cloud & DevOps
System Testing,10,Testing
Ubuntu,10,Cloud & DevOps
VHDL,10,Cloud & DevOps
AI/ML,9,AI/ML
API Development,9,Frameworks / Libraries
ArgoCD,9,Cloud & DevOps
Business Analysis,9,Other
CAD,9,Cloud & DevOps
CLI,9,Other
Code Reviews,9,Other
Command Line Interface,9,Languages
Configuration Management,9,Languages
Cucumber,9,Testing
DNS,9,Cloud & DevOps
Data Preprocessing,9,Databases
Data Processing,9,Databases
Data Quality,9,Databases
Database Design,9,Databases
Elixir,9,Languages
Functional Testing,9,Testing
GNSS,9,Cloud & DevOps
Google Analytics,9,Databases
Google Docs,9,Other
Hive,9,Databases
ISO 14791,9,Other
Katalon Studio,9,Testing
MSTest,9,Testing
OneDrive,9,Other
OpenSearch,9,Databases
PLC,9,Cloud & DevOps
Penetration Testing,9,Cloud & DevOps
Power Platform,9,Other
RabbitMQ,9,Frameworks / Libraries
Red Hat,9,Cloud & DevOps
Remix,9,Frameworks / Libraries
Risk Management,9,Other
SQL Server Management Studio,9,Databases
Seaborn,9,Databases
Security-Driven Development,9,Cloud & DevOps
Simulink,9,Other
Site Reliability Engineering,9,Cloud & DevOps
Sketch,9,Other
Software Design Patterns,9,Other
TeamCity,9,Cloud & DevOps
Trello,9,Other
User-Centered Design,9,Other
AWS S3,8,Cloud & DevOps
Advanced Analytics,8,Databases
Amazon SQS,8,Cloud & DevOps
Analytics,8,Databases
Android SDK,8,Frameworks / Libraries
ArcGIS,8,Other
Azure OpenAI,8,Cloud & DevOps
Backend Development,8,Frameworks / Libraries
Black Box Testing,8,Testing
Cloud Messaging,8,Cloud & DevOps
Compiler,8,Other
D3.js,8,Databases
Data Cleaning,8,Databases
Design Systems,8,Other
Encryption,8,Cloud & DevOps
Event-Driven Architecture,8,Frameworks / Libraries
GPS,8,Cloud & DevOps
GPT,8,AI/ML
GitLab CI,8,Cloud & DevOps
HBase,8,Databases
Hardware-in-the-Loop (HIL),8,Cloud & DevOps
Kibana,8,Cloud & DevOps
LTE,8,Cloud & DevOps
Less,8,Frameworks / Libraries
MCP,8,AI/ML
Make,8,Languages
Microsoft Windows,8,Cloud & DevOps
Multimeter,8,Cloud & DevOps
Networking Protocols,8,Cloud & DevOps
Orchestration,8,Cloud & DevOps
Pinecone,8,Databases
Prometheus,8,Cloud & DevOps
RAG,8,AI/ML
ROS,8,Cloud & DevOps
Real-time Operating System,8,Cloud & DevOps
Responsive Design,8,Other
Risk Assessment,8,Other
RxJS,8,Frameworks / Libraries
SAP HANA,8,Other
SCADA,8,Cloud & DevOps
SNMP,8,Cloud & DevOps
SPSS,8,Other
Socket Programming,8,Frameworks / Libraries
Spring MVC,8,Frameworks / Libraries
Statistical Methods,8,Databases
Streamlit,8,Databases
Technical Documentation,8,Other
Test Planning,8,Testing
UI Testing,8,Testing
User Acceptance Testing,8,Testing
VMware,8,Cloud & DevOps
Virtual Desktop Infrastructure,8,Cloud & DevOps
Vulnerability Assessment,8,Cloud & DevOps
Weights & Biases,8,AI/ML
AI Agents,7,AI/ML
API Design,7,Frameworks / Libraries
ASP.NET MVC,7,Frameworks / Libraries
AWS IAM,7,Cloud & DevOps
Accessibility,7,Other
Adobe Creative Suite,7,Other
Adobe XD,7,Other
Agentic AI,7,AI/ML
Assembly,7,Cloud & DevOps
Augmented Reality,7,Frameworks / Libraries
Azure Functions,7,Cloud & DevOps
Bloomberg,7,Other
Causal Machine Learning,7,AI/ML
Chromium,7,Frameworks / Libraries
CircleCI,7,Testing
Compilers,7,Other
DOM,7,Frameworks / Libraries
Data Integration,7,Databases
Data Management,7,Databases
Digital Logic,7,Cloud & DevOps
Distributed Computing,7,Other
Embedded Development,7,Cloud & DevOps
GNU,7,Languages
Google Slides,7,Other
ISO 27001,7,Cloud & DevOps
Incident Management,7,Cloud & DevOps
Incident Response,7,Cloud & DevOps
LLVM,7,Cloud & DevOps
MQTT,7,Frameworks / Libraries
Microsoft Fabric,7,Other
Model Evaluation,7,AI/ML
NVIDIA,7,Cloud & DevOps
NestJS,7,Frameworks / Libraries
Network Protocols,7,Other
Object Detection,7,AI/ML
Oscilloscopes,7,Cloud & DevOps
Photoshop,7,Other
Prototyping,7,Other
RDBMS,7,Databases
Red Hat Enterprise Linux,7,Cloud & DevOps
Rush,7,Cloud & DevOps
S3,7,Cloud & DevOps
SONET/SDH,7,Cloud & DevOps
SSIS,7,Databases
Security Testing,7,Testing
Sentiment Analysis,7,AI/ML
SoapUI,7,Testing
SonarQube,7,Testing
Spinnaker,7,Cloud & DevOps
Svelte,7,Frameworks / Libraries
Time Series Analysis,7,AI/ML
UI Design,7,Other
UiPath,7,Languages
User Experience,7,Other
Vector Databases,7,Databases
Vulnerability Management,7,Cloud & DevOps
Web API,7,Frameworks / Libraries
WebSocket,7,Frameworks / Libraries
YAML,7,Languages
.NET Framework,6,Languages
API Integration,6,Frameworks / Libraries
ASIC,6,Cloud & DevOps
ASIC Design,6,Cloud & DevOps
AWS Bedrock,6,Cloud & DevOps
Adobe Creative Cloud,6,Other
Agile Methodology,6,Other
Alteryx,6,Databases
Amazon CloudWatch,6,Cloud & DevOps
Amazon DynamoDB,6,Databases
Apache,6,Frameworks / Libraries
AutoCAD,6,Cloud & DevOps
Automation Testing,6,Testing
Blender,6,Frameworks / Libraries
Blue Prism,6,Languages
Boost,6,Languages
CAN bus,6,Cloud & DevOps
CXL,6,Cloud & DevOps
Cassandra,6,Databases
Client-Server Architecture,6,Other
Cloud Infrastructure,6,Cloud & DevOps
Continuous Improvement,6,Other
Copilot Studio,6,Other
DB2,6,Databases
DOORS,6,Other
Data Wrangling,6,Databases
Device Drivers,6,Cloud & DevOps
Edge Computing,6,Cloud & DevOps
Electron,6,Frameworks / Libraries
Embedded Software,6,Cloud & DevOps
Embedded Software Development,6,Cloud & DevOps
Experimental Design,6,Other
Exploratory Testing,6,Testing
Extreme Programming,6,Other
Financial Modeling,6,Other
FreeRTOS,6,Cloud & DevOps
Front-end Development,6,Frameworks / Libraries
Full-stack Development,6,Other
GitOps,6,Cloud & DevOps
Google Suite,6,Other
Gulp,6,Languages
HMI,6,Cloud & DevOps
Hugging Face Transformers,6,AI/ML
Hypothesis Testing,6,Databases
IDE,6,Other
ISO 26262,6,Cloud & DevOps
Imitation Learning,6,AI/ML
Insight,6,Databases
Internet of Things,6,Cloud & DevOps
LDP,6,Cloud & DevOps
Linear Algebra,6,Other
LlamaIndex,6,AI/ML
Logstash,6,Cloud & DevOps
MS SQL,6,Databases
Material-UI,6,Frameworks / Libraries
Miro,6,Other
Monitoring,6,Cloud & DevOps
Multi-agent Systems,6,AI/ML
Neo4j,6,Databases
OAuth2,6,Cloud & DevOps
Observability,6,Cloud & DevOps
Ollama,6,AI/ML
PNPM,6,Other
Predictive Maintenance,6,Cloud & DevOps
QA Methodologies,6,Testing
Redshift,6,Databases
Reporting,6,Databases
Root Cause Analysis,6,Other
SDK,6,Other
Security,6,Cloud & DevOps
Serial Communication,6,Cloud & DevOps
Simulation,6,Cloud & DevOps
Software Architecture,6,Other
Software Quality Assurance,6,Testing
Static Analysis,6,Testing
System Integration,6,Other
Systems Engineering,6,Other
Transfer Learning,6,AI/ML
UDS,6,Cloud & DevOps
UIKit,6,Frameworks / Libraries
User Experience Design,6,Other
Vercel,6,Cloud & DevOps
Version Control Systems,6,Cloud & DevOps
Vertex AI,6,AI/ML
Video Processing,6,Cloud & DevOps
VxWorks,6,Cloud & DevOps
WCAG,6,Other
White Box Testing,6,Testing
Wireshark,6,Cloud & DevOps
Zoom,6,Other
APIs,5,Frameworks / Libraries
AWS EKS,5,Cloud & DevOps
AWS RDS,5,Cloud & DevOps
AWS Security Groups,5,Cloud & DevOps
Agile Development,5,Other
Agile methodologies,5,Other
Amazon Redshift,5,Cloud & DevOps
Android Jetpack,5,Frameworks / Libraries
Anomaly Detection,5,AI/ML
Apache Flink,5,Databases
Asana,5,Other
Assembler,5,Languages
Azure Data Lake,5,Cloud & DevOps
Azure Synapse Analytics,5,Cloud & DevOps
Babel,5,Frameworks / Libraries
Backbone.js,5,Frameworks / Libraries
Behavior Driven Development,5,Testing
CNNs,5,AI/ML
CentOS,5,Cloud & DevOps
Cloud Architecture,5,Cloud & DevOps
CloudWatch,5,Cloud & DevOps
Command Line,5,Languages
Communication Protocols,5,Cloud & DevOps
Contentful,5,Frameworks / Libraries
Control Systems,5,Cloud & DevOps
Cryptography,5,Cloud & DevOps
D3,5,Databases
DAX,5,Databases
Data Architecture,5,Other
Embeddings,5,AI/ML
FME,5,Databases
Figjam,5,Other
Firebase,5,Frameworks / Libraries
Firewall,5,Cloud & DevOps
Flink,5,Databases
Flow,5,Other
GMP,5,Other
Gherkin,5,Testing
Google Compute Engine,5,Cloud & DevOps
HDFS,5,Databases
Hardware,5,Cloud & DevOps
Hardware Design,5,Cloud & DevOps
Heroku,5,Cloud & DevOps
IAM,5,Cloud & DevOps
Identity and Access Management,5,Cloud & DevOps
Illustrator,5,Other
Isaac Sim,5,Cloud & DevOps
JNI,5,Frameworks / Libraries
Java EE,5,Frameworks / Libraries
Julia,5,Languages
LAN,5,Cloud & DevOps
LIN,5,Cloud & DevOps
LLMOps,5,AI/ML
Linear Programming,5,Other
Lucidchart,5,Other
MSBuild,5,Languages
MapReduce,5,Databases
MicroStrategy,5,Databases
Mixed Reality,5,Frameworks / Libraries
Mujoco,5,Cloud & DevOps
NUnit,5,Testing
NgRx,5,Frameworks / Libraries
NoSQL Databases,5,Databases
Nonlinear Optimization,5,Other
OLAP,5,Databases
OLTP,5,Databases
Open RAN,5,Cloud & DevOps
OpenGL,5,Frameworks / Libraries
Page Object Model,5,Testing
Power Query,5,Other
Prisma,5,Databases
Push Notifications,5,Frameworks / Libraries
RHEL,5,Cloud & DevOps
Radix UI,5,Frameworks / Libraries
Recommendation Systems,5,AI/ML
Rest Assured,5,Testing
SCCM,5,Other
SCSS,5,Frameworks / Libraries
SEO,5,Frameworks / Libraries
SIEM,5,Cloud & DevOps
SIL,5,Cloud & DevOps
SSH,5,Cloud & DevOps
SSRS,5,Databases
Secure Coding,5,Other
Sensor Fusion,5,Cloud & DevOps
Serverless,5,Frameworks / Libraries
Serverless Computing,5,Cloud & DevOps
ShadCN,5,Frameworks / Libraries
SharePoint Online,5,Other
Software Development Best Practices,5,Other
Software Development Methodologies,5,Other
Spectrum Analyzer,5,Cloud & DevOps
Spring Cloud,5,Frameworks / Libraries
Storybook,5,Frameworks / Libraries
Tanstack,5,Frameworks / Libraries
Test Automation Framework,5,Testing
Text Analytics,5,AI/ML
Transformer,5,AI/ML
User Stories,5,Other
VBScript,5,Languages
VPN,5,Cloud & DevOps
Vagrant,5,Cloud & DevOps
WebAuthN,5,Cloud & DevOps
WebGL,5,Frameworks / Libraries
WebRTC,5,Cloud & DevOps
WebdriverIO,5,Testing
Windows 10,5,Cloud & DevOps
Zapier,5,Languages
Zephyr,5,Cloud & DevOps
asyncio,5,Languages
n8n,5,Languages
3D Printing,4,Cloud & DevOps
AI Tools,4,AI/ML
AI/Machine Learning,4,AI/ML
AJAX,4,Frameworks / Libraries
ASP.NET Core,4,Frameworks / Libraries
AWS CloudWatch,4,Cloud & DevOps
AWS ElastiCache,4,Cloud & DevOps
AWS Glue,4,Cloud & DevOps
Adobe,4,Other
Adobe Analytics,4,Other
Amazon EC2,4,Cloud & DevOps
Amazon EKS,4,Cloud & DevOps
Amazon Kinesis,4,Cloud & DevOps
Amazon Route 53,4,Cloud & DevOps
Amazon SNS,4,Cloud & DevOps
Amazon SageMaker,4,AI/ML
Android NDK,4,Frameworks / Libraries
Apache Superset,4,Databases
Apache Tomcat,4,Frameworks / Libraries
Apollo,4,Frameworks / Libraries
Application Integration,4,Frameworks / Libraries
Argus Enterprise,4,Other
Azure Databricks,4,Cloud & DevOps
Azure Machine Learning,4,Cloud & DevOps
Azure SQL,4,Cloud & DevOps
BIOS,4,Cloud & DevOps
Batch,4,Databases
Blueprints,4,Frameworks / Libraries
CANApe,4,Cloud & DevOps
CMM,4,Cloud & DevOps
CSV,4,Other
CVE,4,Cloud & DevOps
Chrome DevTools,4,Frameworks / Libraries
Chromebook,4,Other
Cloud Storage,4,Cloud & DevOps
Cloudflare,4,Cloud & DevOps
Complexity Analysis,4,Other
Component Testing,4,Testing
Computer Networking,4,Other
Control Theory,4,Cloud & DevOps
Convolutional Neural Networks,4,AI/ML
Cross-browser compatibility,4,Frameworks / Libraries
DO-178C,4,Cloud & DevOps
Data Pipeline,4,Databases
Data Structures and Algorithms,4,Other
Data Transformation,4,Databases
Dataflow,4,Databases
Debugger,4,Other
Defect Management,4,Testing
Defect Tracking,4,Testing
Deployment,4,Cloud & DevOps
Design of Experiments,4,Other
Drupal,4,Frameworks / Libraries
ECMP,4,Cloud & DevOps
ERP Systems,4,Other
FORTRAN,4,Languages
Federated Learning,4,AI/ML
FinOps,4,Other
Flux,4,Frameworks / Libraries
Fraud Detection,4,Databases
GPU Programming,4,AI/ML
GSM,4,Cloud & DevOps
GTest,4,Testing
Game Development,4,Frameworks / Libraries
Google App Engine,4,Cloud & DevOps
Google Vertex AI,4,AI/ML
Graph Database,4,Databases
Guidewire,4,Other
HLSL,4,Frameworks / Libraries
Hardware Troubleshooting,4,Cloud & DevOps
High-Performance Computing,4,Cloud & DevOps
Human-Computer Interaction,4,Other
Information Retrieval,4,AI/ML
Interaction Design,4,Other
Isaac Gym,4,Cloud & DevOps
Isaac Lab,4,Cloud & DevOps
Istio,4,Frameworks / Libraries
JDBC,4,Frameworks / Libraries
JPA,4,Frameworks / Libraries
JTAG,4,Cloud & DevOps
Jinja,4,Frameworks / Libraries
LaTeX,4,Other
Laravel,4,Frameworks / Libraries
Logging,4,Cloud & DevOps
Low-code/No-code Development,4,Other
ML Pipelines,4,AI/ML
Mathematical Modeling,4,Other
MediaPipe,4,AI/ML
Memory Management,4,Other
Micro Frontend,4,Frameworks / Libraries
Microprocessors,4,Cloud & DevOps
Microsoft,4,Other
Microsoft Forms,4,Other
Microsoft Planner,4,Other
Mobile App Testing,4,Frameworks / Libraries
Mobile Testing,4,Testing
Model Training,4,AI/ML
MongoDB Atlas,4,Databases
NIST CSF,4,Cloud & DevOps
NLP,4,AI/ML
NuclearJS,4,Frameworks / Libraries
ONNX,4,AI/ML
ONNX Runtime,4,AI/ML
Object-Oriented Analysis and Design,4,Other
Object-Oriented Development,4,Other
Oozie,4,Databases
OpenCL,4,Cloud & DevOps
Oracle Cloud,4,Cloud & DevOps
Oracle Database,4,Databases
PKI,4,Cloud & DevOps
PMLC,4,Other
Pair Programming,4,Other
Performance Optimization,4,Other
Presto,4,Databases
Product Backlog,4,Other
Protocol Buffers,4,Frameworks / Libraries
QWEB,4,Frameworks / Libraries
Quantum Computing,4,Cloud & DevOps
RS-422,4,Cloud & DevOps
RSVP,4,Cloud & DevOps
Ray,4,AI/ML
React Testing Library,4,Frameworks / Libraries
Real-time Programming,4,Cloud & DevOps
Regression Analysis,4,Databases
Robotic Process Automation,4,Languages
SAP BusinessObjects,4,Other
SAP Concur,4,Other
Scientific Computing,4,Other
Segment Routing,4,Cloud & DevOps
Semantic Kernel,4,AI/ML
Server Administration,4,Cloud & DevOps
Server-Sent Events,4,Frameworks / Libraries
Smartsheet,4,Other
Solaris,4,Cloud & DevOps
Stata,4,Other
Swagger,4,Frameworks / Libraries
Synthetic Data Generation,4,AI/ML
System Administration,4,Cloud & DevOps
TDD,4,Testing
TFS,4,Cloud & DevOps
Technical Writing,4,Other
TensorFlow Lite,4,AI/ML
Testing Methodologies,4,Testing
Testing Methodology,4,Testing
Tomcat,4,Frameworks / Libraries
UVM,4,Cloud & DevOps
UX Research,4,Other
UX/UI Design,4,Other
Unit Testing Frameworks,4,Testing
